Address,Floor-space,Image, Rent ,Amenities
1009/659 Murray Street  West Perth  WA 6005,63 m²,https://i2.au.reastatic.net/934x1243-resize extend r=33 g=40 b=46/ab72a45a45e611bfa40802da585d54575b1d77e73dcc0666c8d637f2062095f8/image.jpg,$75.00,Bathroom and other stuff
59/172 Railway Parade  West Leederville  WA 6007,123 m²,https://i2.au.reastatic.net/921x1243-resize extend r=33 g=40 b=46/85a0a6344d73d3b5e44dbc6605c720df9895e8bd22382fe726183c9aabe922e3/image.jpg,$65.00,Bathroom and other stuff ethernet cable everywhere
32/45 Leonard Street  Victoria Park  WA 6100,71 m²,https://i2.au.reastatic.net/921x1243-resize extend r=33 g=40 b=46/d04bbf2bc6e516f9911cf3abb7d341497e2b8065f0515d6f77c41e46873f3e05/image.jpg,$55.00,Bathroom and other stuff
7/333 Canning Hwy  Como  WA 6152,51 m²,https://i2.au.reastatic.net/921x1243-resize extend r=33 g=40 b=46/ebb366a2ffcf63a315676c1fd6f9628c8ae70eeada1516df543e4be37dd556f1/image.jpg,$52.00,Bathroom and other stuff
4/26 St Leonards Avenue  West Leederville  WA 6007,62 m²,https://i2.au.reastatic.net/921x1243-resize extend r=33 g=40 b=46/d53f93377c91d2c8423fe821fabdb0ee38a62fafe73d13fc3f63fa60a8ad9135/image.jpg,$48.00,Bathroom and other stuffethernet cable everywhere
6/9-11 Wingfield Avenue  Crawley  WA 6009,154 m²,https://i2.au.reastatic.net/921x1243-resize extend r=33 g=40 b=46/0449ecfe1f700b483b9fda5d71f953b23594f8e3ce6870fe8f8f75e434bd0167/image.jpg,$50.00,Bathroom and other stuff
56 Redfern Street  North Perth  WA 6006,351 m²,https://i2.au.reastatic.net/921x1243-resize extend r=33 g=40 b=46/80289abfc7c7b424c555c0ddafa1ec201ab66ac67ba24031d1d4527a6c445ce1/image.jpg,$90.00,Bathroom and other stuff
124A Mary Street  Como  WA 6152,295 m²,https://i2.au.reastatic.net/921x1243-resize extend r=33 g=40 b=46/3146b09ad60b544daac4eda97fd73a5a9cc90dc232214f7c92af296030f0ccfc/image.jpg,$78.00,Bathroom and other stuff
23 Woodville Street  North Perth  WA 6006,450 m²,https://i2.au.reastatic.net/921x1243-resize extend r=33 g=40 b=46/7cfc219ce780e5acc9db94e99d91ce70aa4371ab43301f8381eb084a7547ea9f/image.jpg,$66.00,Bathroom and other stuff
11/145 Newcastle Street  Perth  WA 6000,40 m²,https://i2.au.reastatic.net/921x1243-resize extend r=33 g=40 b=46/74d77e3d494879b843e138f80923625424fd778324d52f12296065aa2a8854d2/image.jpg,$45.00,Bathroom and other stuff ethernet cable everywhere
3/135 Loftus Street  Leederville  WA 6007,100 m²,https://i2.au.reastatic.net/921x1243-resize extend r=33 g=40 b=46/77532a5b73660d99a8d3b4b45b817b5d47dd47e17074b5fb87347a3b2073ba56/image.jpg,$40.00,Bathroom and other stuff
215 Loftus Street  Leederville  WA 6007,888 m²,https://i2.au.reastatic.net/921x1243-resize extend r=33 g=40 b=46/d63e74586372d8428e3f02aac7f45ad429fa3d6303b7341a89db2fb14d4dcfc2/image.jpg,$65.00,Bathroom and other stuff
60 Tyrell Street  Nedlands  WA 6009,809 m²,https://i2.au.reastatic.net/921x1243-resize extend r=33 g=40 b=46/391333ce41468fb5492a9870bcb7f5475a7ae53f362aefc037737e5ba49d0589/image.jpg,$90.00,Bathroom and other stuff ethernet cable everywhere
19 Mountjoy Road  Nedlands  WA 6009,1012 m²,https://i2.au.reastatic.net/921x1243-resize extend r=33 g=40 b=46/0011c860221788dcfb597d7c85a5bb5a7aadcacf9d2b848356a66151fdf150c1/image.jpg,$57.50,Bathroom and other stuff
48A Bruce Street  Nedlands  WA 6009,389 m²,https://i2.au.reastatic.net/921x1243-resize extend r=33 g=40 b=46/204a4ae581bd21466547bbc90b58d9744fd2bc52711769a4b10341f450c36945/image.jpg,$65.00,Bathroom and other stuff ethernet
6/1 Kings Park Avenue  Crawley  WA 6009,201 m²,https://i2.au.reastatic.net/921x1243-resize extend r=33 g=40 b=46/ef5dda43e2db2e71fe2d041457dfda9cb804cab46ceac7b126f0d5e69c11130d/image.jpg,$65.00,Bathroom and other stuff
1/20 Princess Road  Crawley  WA 6009,150 m²,https://i2.au.reastatic.net/921x1243-resize extend r=33 g=40 b=46/e6f8f3e3fb49b3fdcc73b0487fac9fd3db1683959a3b1200b06bf54306630fc8/image.jpg,$70.00,Bathroom and other stuff
1/5 The Avenue  Crawley  WA 6009,750 m²,https://i2.au.reastatic.net/921x1243-resize extend r=33 g=40 b=46/6807336ce7755fe3f41ba76ea8e50202d4cddd4bbd634bfc631bc794076ca8f7/image.jpg,$65.00,Bathroom and other stuff ethernet everywhere
6/22 Mounts Bay Road  Crawley  WA 6009,80 m²,https://i2.au.reastatic.net/921x1243-resize extend r=33 g=40 b=46/90697f7b1953a31e24849193365b102b81be0fc0b01f3f06fa174d144963e378/image.jpg,$65.00,Bathroom and other stuff ethernet cable everywhere
